log_file,profile_stage,label,H,W,K,seed,graded,table_stage,correct,time_ms,gflops,speedup,raw_instructions,raw_l1d_loads,raw_l1d_misses,raw_mpki,isolated_instructions,isolated_l1d_loads,isolated_l1d_misses,isolated_mpki,raw_elapsed_s,isolated_elapsed_s,isolation_note
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,2048,2048,5,1234,not graded,optimized,yes,6.559,31.97,8.67,10341538824,2711596801,26358185,2.548768,855124282,362149366,12865727,15.045447,0.728084,0.077544,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,4096,4096,3,1234,not graded,naive (ref),yes,82.909,3.64,1.00,19045902207,4125537739,111217764,5.839459,17227392632,3479485120,56241129,3.264634,1.196411,1.022770,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,4096,4096,3,1234,not graded,optimized,yes,12.710,23.76,6.52,19045902207,4125537739,111217764,5.839459,1818509575,646052619,54976635,30.231699,1.196411,0.173641,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,4096,4096,5,1234,not graded,naive (ref),yes,224.268,3.74,1.00,41325723043,10836002752,130336997,3.153895,37905679948,9387518813,79867109,2.106996,2.855336,2.496753,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,4096,4096,5,1234,not graded,optimized,yes,25.563,32.82,8.77,41325723043,10836002752,130336997,3.153895,3420043095,1448483939,50469888,14.757091,2.855336,0.358584,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,512,512,3,1234,not graded,naive (ref),yes,1.972,2.39,1.00,299464945,63299392,1389926,4.641365,278490924,56783492,549211,1.972097,0.028282,0.014643,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,512,512,3,1234,not graded,optimized,yes,0.162,29.06,12.15,299464945,63299392,1389926,4.641365,20974021,6515900,840715,40.083635,0.028282,0.013639,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,512,512,5,1234,not graded,naive (ref),yes,5.440,2.41,1.00,643990665,163515290,1980385,3.075177,601553639,149091692,560303,0.931426,0.068238,0.036723,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,512,512,5,1234,not graded,optimized,yes,0.398,32.91,13.66,643990665,163515290,1980385,3.075177,42437026,14423598,1420082,33.463278,0.068238,0.031514,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,1024,1024,3,1234,not graded,naive (ref),yes,4.644,4.06,1.00,1171984850,246510650,5502084,4.694672,1087588944,220339456,2140651,1.968254,0.091648,0.056068,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,1024,1024,3,1234,not graded,optimized,yes,0.491,38.41,9.45,1171984850,246510650,5502084,4.694672,84395906,26171194,3361433,39.829337,0.091648,0.035580,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,1024,1024,5,1234,not graded,naive (ref),yes,13.748,3.81,1.00,2549431278,647202842,5168053,2.027140,2380191527,589660167,2223300,0.934084,0.172283,0.157320,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,1024,1024,5,1234,not graded,optimized,yes,1.047,50.09,13.13,2549431278,647202842,5168053,2.027140,169239751,57542675,2944753,17.399890,0.172283,0.014962,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,2048,2048,3,1234,not graded,naive (ref),yes,21.191,3.56,1.00,4652427663,976621217,20277959,4.358576,4316227905,872280611,8641767,2.002157,0.298376,0.263616,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,2048,2048,3,1234,not graded,optimized,yes,2.217,34.06,9.56,4652427663,976621217,20277959,4.358576,336199758,104340606,11636192,34.610947,0.298376,0.034760,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,2048,2048,5,1234,not graded,naive (ref),yes,57.440,3.65,1.00,10164010246,2579764464,25217202,2.481029,9486414542,2349447435,13492458,1.422293,0.709718,0.650540,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,2048,2048,5,1234,not graded,optimized,yes,4.806,43.64,11.95,10164010246,2579764464,25217202,2.481029,677595704,230317029,11724744,17.303451,0.709718,0.059178,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,4096,4096,3,1234,not graded,naive (ref),yes,84.223,3.59,1.00,18653725897,3918235855,101439210,5.438013,17227392632,3479485120,56241129,3.264634,1.179814,1.022770,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,4096,4096,3,1234,not graded,optimized,yes,9.815,30.77,8.58,18653725897,3918235855,101439210,5.438013,1426333265,438750735,45198081,31.688303,1.179814,0.157044,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,4096,4096,5,1234,not graded,naive (ref),yes,222.805,3.76,1.00,40615933127,10308671824,126663057,3.118556,37905679948,9387518813,79867109,2.106996,2.776728,2.496753,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits256_20260906_150231.log,optimized,tileSize16SIMDbits256,4096,4096,5,1234,not graded,optimized,yes,19.252,43.57,11.57,40615933127,10308671824,126663057,3.118556,2710253179,921153011,46795948,17.266264,2.776728,0.279975,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,512,512,3,1234,not graded,naive (ref),yes,1.000,4.72,1.00,295753794,61519247,958562,3.241081,278490924,56783492,549211,1.972097,0.017353,0.014643,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,512,512,3,1234,not graded,optimized,yes,0.089,53.26,11.28,295753794,61519247,958562,3.241081,17262870,4735755,409351,23.712801,0.017353,0.002711,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,512,512,5,1234,not graded,naive (ref),yes,3.058,4.29,1.00,634778306,159043599,1008965,1.589476,601553639,149091692,560303,0.931426,0.039708,0.036723,substituted from dedicated naive baseline log
